"ALT","SEX","METHOD","OT","BD","OFFSET","HUNTER","MONTH","MONTHCALENDAR","YEAR","HUNTER.MONTH"
"4","Female","Trampa",0,8,2,"HUNT1",15,12,2011,"HUNT1 15"
"4","Male","Trampa",0,7,2,"HUNT1",15,12,2011,"HUNT1 15"
"4","Male","Trampa",1,3,2,"HUNT1",17,3,2012,"HUNT1 17"
"3","Male","Trampa",0,0,2,"HUNT1",17,3,2012,"HUNT1 17"
"4","Female","Trampa",0,3,2,"HUNT1",17,3,2012,"HUNT1 17"
"3","Female","Trampa",0,0,2,"HUNT1",17,3,2012,"HUNT1 17"
"4","Male","Escopeta",0,0,2,"HUNT1",17,3,2012,"HUNT1 17"
"3","Male","Escopeta",0,2,2,"HUNT1",17,3,2012,"HUNT1 17"
"4","Female","Escopeta",0,0,2,"HUNT1",17,3,2012,"HUNT1 17"
"3","Female","Escopeta",0,5,2,"HUNT1",17,3,2012,"HUNT1 17"
"4","Female","Escopeta",0,11,4,"HUNT1",18,4,2012,"HUNT1 18"
"3","Female","Escopeta",0,1,4,"HUNT1",18,4,2012,"HUNT1 18"
"4","Male","Escopeta",0,7,4,"HUNT1",18,4,2012,"HUNT1 18"
"3","Male","Escopeta",0,3,4,"HUNT1",18,4,2012,"HUNT1 18"
"4","Female","Trampa",0,4,1,"HUNT1",20,6,2012,"HUNT1 20"
"4","Male","Trampa",0,5,1,"HUNT1",20,6,2012,"HUNT1 20"
"4","Female","Escopeta",0,3,1,"HUNT1",21,7,2012,"HUNT1 21"
"4","Male","Escopeta",0,2,1,"HUNT1",21,7,2012,"HUNT1 21"
"4","Female","Trampa",0,12,4,"HUNT1",22,8,2012,"HUNT1 22"
"2","Female","Trampa",0,0,4,"HUNT1",22,8,2012,"HUNT1 22"
"3","Female","Trampa",0,0,4,"HUNT1",22,8,2012,"HUNT1 22"
"4","Male","Trampa",0,6,4,"HUNT1",22,8,2012,"HUNT1 22"
"2","Male","Trampa",0,0,4,"HUNT1",22,8,2012,"HUNT1 22"
"3","Male","Trampa",0,0,4,"HUNT1",22,8,2012,"HUNT1 22"
"4","Female","Escopeta",0,0,4,"HUNT1",22,8,2012,"HUNT1 22"
"2","Female","Escopeta",3,1,4,"HUNT1",22,8,2012,"HUNT1 22"
"3","Female","Escopeta",1,4,4,"HUNT1",22,8,2012,"HUNT1 22"
"4","Male","Escopeta",0,0,4,"HUNT1",22,8,2012,"HUNT1 22"
"2","Male","Escopeta",1,0,4,"HUNT1",22,8,2012,"HUNT1 22"
"3","Male","Escopeta",1,2,4,"HUNT1",22,8,2012,"HUNT1 22"
"4","Female","Escopeta",0,11,2,"HUNT1",23,10,2012,"HUNT1 23"
"4","Male","Escopeta",0,6,2,"HUNT1",23,10,2012,"HUNT1 23"
"3","Female","Escopeta",0,6,1,"HUNT1",24,11,2012,"HUNT1 24"
"3","Male","Escopeta",0,1,1,"HUNT1",24,11,2012,"HUNT1 24"
"4","Female","Escopeta",0,7,1,"HUNT1",25,12,2012,"HUNT1 25"
"4","Male","Escopeta",0,0,1,"HUNT1",25,12,2012,"HUNT1 25"
"4","Female","Escopeta",0,5,1,"HUNT1",27,3,2013,"HUNT1 27"
"4","Male","Escopeta",0,2,1,"HUNT1",27,3,2013,"HUNT1 27"
"4","Male","Trampa",0,1,1,"HUNT1",29,5,2013,"HUNT1 29"
"4","Female","Trampa",0,4,2,"HUNT1",31,7,2013,"HUNT1 31"
"5","Female","Trampa",0,1,2,"HUNT1",31,7,2013,"HUNT1 31"
"4","Male","Trampa",1,1,2,"HUNT1",31,7,2013,"HUNT1 31"
"5","Male","Trampa",0,0,2,"HUNT1",31,7,2013,"HUNT1 31"
"4","Female","Escopeta",0,0,2,"HUNT1",31,7,2013,"HUNT1 31"
"5","Female","Escopeta",0,0,2,"HUNT1",31,7,2013,"HUNT1 31"
"4","Male","Escopeta",0,0,2,"HUNT1",31,7,2013,"HUNT1 31"
"5","Male","Escopeta",1,0,2,"HUNT1",31,7,2013,"HUNT1 31"
"3","Female","Trampa",0,7,2,"HUNT1",32,8,2013,"HUNT1 32"
"4","Female","Trampa",0,0,2,"HUNT1",32,8,2013,"HUNT1 32"
"3","Male","Trampa",0,1,2,"HUNT1",32,8,2013,"HUNT1 32"
"4","Male","Trampa",0,0,2,"HUNT1",32,8,2013,"HUNT1 32"
"3","Female","Escopeta",0,0,2,"HUNT1",32,8,2013,"HUNT1 32"
"4","Female","Escopeta",0,5,2,"HUNT1",32,8,2013,"HUNT1 32"
"3","Male","Escopeta",0,0,2,"HUNT1",32,8,2013,"HUNT1 32"
"4","Male","Escopeta",0,3,2,"HUNT1",32,8,2013,"HUNT1 32"
"5","Female","Trampa",0,2,1,"HUNT2",1,8,2010,"HUNT2 1"
"5","Male","Trampa",0,3,1,"HUNT2",1,8,2010,"HUNT2 1"
"5","Female","Trampa",2,0,1,"HUNT2",3,10,2010,"HUNT2 3"
"1","Female","Trampa",0,1,1,"HUNT2",7,4,2011,"HUNT2 7"
"1","Male","Trampa",1,1,1,"HUNT2",7,4,2011,"HUNT2 7"
"5","Female","Trampa",0,5,2,"HUNT2",9,6,2011,"HUNT2 9"
"5","Male","Trampa",0,5,2,"HUNT2",9,6,2011,"HUNT2 9"
"5","Female","Escopeta",0,3,2,"HUNT2",9,6,2011,"HUNT2 9"
"5","Male","Escopeta",0,3,2,"HUNT2",9,6,2011,"HUNT2 9"
"5","Female","Trampa",0,5,1,"HUNT2",15,12,2011,"HUNT2 15"
"5","Male","Trampa",0,4,1,"HUNT2",15,12,2011,"HUNT2 15"
"3","Female","Escopeta",0,7,2,"HUNT2",17,3,2012,"HUNT2 17"
"1","Female","Escopeta",0,6,2,"HUNT2",17,3,2012,"HUNT2 17"
"3","Male","Escopeta",0,1,2,"HUNT2",17,3,2012,"HUNT2 17"
"1","Male","Escopeta",0,2,2,"HUNT2",17,3,2012,"HUNT2 17"
"5","Female","Trampa",0,2,1,"HUNT6",3,10,2010,"HUNT6 3"
"5","Male","Trampa",0,2,1,"HUNT6",3,10,2010,"HUNT6 3"
"5","Female","Trampa",0,9,1,"HUNT6",12,9,2011,"HUNT6 12"
"5","Female","Trampa",2,3,1,"HUNT6",20,6,2012,"HUNT6 20"
"5","Male","Trampa",0,5,1,"HUNT6",20,6,2012,"HUNT6 20"
"5","Female","Trampa",2,5,1,"HUNT6",21,7,2012,"HUNT6 21"
"5","Male","Trampa",0,3,1,"HUNT6",21,7,2012,"HUNT6 21"
"5","Female","Trampa",2,2,1,"HUNT6",23,10,2012,"HUNT6 23"
"5","Male","Trampa",0,3,1,"HUNT6",23,10,2012,"HUNT6 23"
"5","Female","Trampa",0,5,1,"HUNT6",24,11,2012,"HUNT6 24"
"5","Female","Trampa",0,1,2,"HUNT6",31,7,2013,"HUNT6 31"
"5","Male","Trampa",0,6,2,"HUNT6",31,7,2013,"HUNT6 31"
"5","Male","Trampa",0,2,1,"HUNT6",33,9,2013,"HUNT6 33"
"5","Female","Trampa",0,3,1,"HUNT6",33,9,2013,"HUNT6 33"
"5","Female","Trampa",0,3,1,"HUNT7",3,10,2010,"HUNT7 3"
"5","Male","Trampa",0,2,1,"HUNT7",3,10,2010,"HUNT7 3"
"5","Female","Trampa",2,2,1,"HUNT7",26,2,2013,"HUNT7 26"
"5","Male","Trampa",0,1,1,"HUNT7",26,2,2013,"HUNT7 26"
"5","Female","Trampa",0,5,2,"HUNT7",27,3,2013,"HUNT7 27"
"5","Male","Trampa",0,2,2,"HUNT7",27,3,2013,"HUNT7 27"
"5","Female","Escopeta",2,0,2,"HUNT7",27,3,2013,"HUNT7 27"
"5","Male","Escopeta",0,0,2,"HUNT7",27,3,2013,"HUNT7 27"
"5","Female","Escopeta",0,3,1,"HUNT7",29,5,2013,"HUNT7 29"
"5","Male","Escopeta",0,2,1,"HUNT7",29,5,2013,"HUNT7 29"
"5","Male","Trampa",0,3,1,"HUNT7",30,6,2013,"HUNT7 30"
"5","Female","Trampa",0,1,1,"HUNT7",30,6,2013,"HUNT7 30"
"5","Female","Trampa",0,7,5,"HUNT7",31,7,2013,"HUNT7 31"
"5","Male","Trampa",1,2,5,"HUNT7",31,7,2013,"HUNT7 31"
"5","Female","Escopeta",1,0,5,"HUNT7",31,7,2013,"HUNT7 31"
"5","Male","Escopeta",0,1,5,"HUNT7",31,7,2013,"HUNT7 31"
"5","Female","Trampa",0,8,1,"HUNT8",9,6,2011,"HUNT8 9"
"5","Male","Trampa",0,3,1,"HUNT8",9,6,2011,"HUNT8 9"
"5","Female","Trampa",0,7,1,"HUNT8",11,8,2011,"HUNT8 11"
"5","Male","Trampa",0,3,1,"HUNT8",11,8,2011,"HUNT8 11"
"5","Female","Escopeta",3,3,2,"HUNT8",12,9,2011,"HUNT8 12"
"5","Male","Escopeta",0,5,2,"HUNT8",12,9,2011,"HUNT8 12"
"5","Female","Trampa",0,8,2,"HUNT8",12,9,2011,"HUNT8 12"
"5","Male","Trampa",0,0,2,"HUNT8",12,9,2011,"HUNT8 12"
"1","Female","Trampa",1,0,1,"HUNT9",1,8,2010,"HUNT9 1"
"1","Female","Escopeta",0,4,1,"HUNT10",3,10,2010,"HUNT10 3"
"1","Male","Escopeta",0,2,1,"HUNT10",3,10,2010,"HUNT10 3"
"5","Female","Trampa",0,8,1,"HUNT10",5,12,2010,"HUNT10 5"
"5","Male","Trampa",0,1,1,"HUNT10",5,12,2010,"HUNT10 5"
"5","Female","Trampa",0,5,1,"HUNT10",7,4,2011,"HUNT10 7"
"5","Male","Trampa",0,3,1,"HUNT10",7,4,2011,"HUNT10 7"
"5","Female","Trampa",2,15,3,"HUNT10",8,5,2011,"HUNT10 8"
"5","Male","Trampa",0,8,3,"HUNT10",8,5,2011,"HUNT10 8"
"1","Male","Trampa",2,1,1,"HUNT10",20,6,2012,"HUNT10 20"
"1","Female","Trampa",1,2,1,"HUNT10",20,6,2012,"HUNT10 20"
"3","Female","Trampa",0,4,3,"HUNT10",21,7,2012,"HUNT10 21"
"5","Female","Trampa",0,10,3,"HUNT10",21,7,2012,"HUNT10 21"
"3","Male","Trampa",0,2,3,"HUNT10",21,7,2012,"HUNT10 21"
"5","Male","Trampa",1,3,3,"HUNT10",21,7,2012,"HUNT10 21"
"5","Female","Trampa",2,9,2,"HUNT10",24,11,2012,"HUNT10 24"
"5","Male","Trampa",0,5,2,"HUNT10",24,11,2012,"HUNT10 24"
"5","Female","Trampa",0,2,1,"HUNT10",26,2,2013,"HUNT10 26"
"5","Female","Trampa",3,13,3,"HUNT10",27,3,2013,"HUNT10 27"
"5","Male","Trampa",1,7,3,"HUNT10",27,3,2013,"HUNT10 27"
"5","Female","Trampa",2,2,2,"HUNT10",28,4,2013,"HUNT10 28"
"5","Male","Trampa",0,4,2,"HUNT10",28,4,2013,"HUNT10 28"
"5","Male","Trampa",0,2,3,"HUNT10",29,5,2013,"HUNT10 29"
"4","Male","Trampa",0,2,3,"HUNT10",29,5,2013,"HUNT10 29"
"5","Female","Trampa",0,5,3,"HUNT10",29,5,2013,"HUNT10 29"
"4","Female","Trampa",0,3,3,"HUNT10",29,5,2013,"HUNT10 29"
"5","Female","Trampa",0,4,1,"HUNT10",30,6,2013,"HUNT10 30"
"5","Male","Trampa",0,3,1,"HUNT10",30,6,2013,"HUNT10 30"
"5","Female","Trampa",1,14,4,"HUNT10",31,7,2013,"HUNT10 31"
"5","Male","Trampa",2,5,4,"HUNT10",31,7,2013,"HUNT10 31"
"1","Female","Trampa",3,0,1,"HUNT10",33,9,2013,"HUNT10 33"
"1","Male","Trampa",3,0,1,"HUNT10",33,9,2013,"HUNT10 33"
"2","Male","Trampa",1,0,1,"HUNT11",31,7,2013,"HUNT11 31"
"2","Female","Trampa",0,5,2,"HUNT12",2,9,2010,"HUNT12 2"
"1","Female","Trampa",5,7,2,"HUNT12",2,9,2010,"HUNT12 2"
"2","Male","Trampa",2,0,2,"HUNT12",2,9,2010,"HUNT12 2"
"1","Male","Trampa",1,2,2,"HUNT12",2,9,2010,"HUNT12 2"
"2","Female","Trampa",0,28,6,"HUNT12",3,10,2010,"HUNT12 3"
"2","Male","Trampa",0,13,6,"HUNT12",3,10,2010,"HUNT12 3"
"2","Female","Trampa",3,10,4,"HUNT12",4,11,2010,"HUNT12 4"
"2","Male","Trampa",0,15,4,"HUNT12",4,11,2010,"HUNT12 4"
"2","Female","Trampa",0,10,2,"HUNT12",5,12,2010,"HUNT12 5"
"2","Male","Trampa",0,5,2,"HUNT12",5,12,2010,"HUNT12 5"
"2","Female","Trampa",1,2,1,"HUNT12",6,1,2011,"HUNT12 6"
"2","Male","Trampa",0,2,1,"HUNT12",6,1,2011,"HUNT12 6"
"2","Female","Trampa",3,6,3,"HUNT12",9,6,2011,"HUNT12 9"
"2","Male","Trampa",2,5,3,"HUNT12",9,6,2011,"HUNT12 9"
"2","Female","Trampa",1,10,3,"HUNT12",10,7,2011,"HUNT12 10"
"2","Male","Trampa",1,6,3,"HUNT12",10,7,2011,"HUNT12 10"
"2","Female","Trampa",5,20,5,"HUNT12",11,8,2011,"HUNT12 11"
"2","Male","Trampa",2,9,5,"HUNT12",11,8,2011,"HUNT12 11"
"2","Female","Trampa",4,13,3,"HUNT12",12,9,2011,"HUNT12 12"
"2","Male","Trampa",0,5,3,"HUNT12",12,9,2011,"HUNT12 12"
"2","Female","Trampa",2,12,6,"HUNT12",13,10,2011,"HUNT12 13"
"2","Male","Trampa",2,9,6,"HUNT12",13,10,2011,"HUNT12 13"
"2","Female","Trampa",0,15,4,"HUNT12",14,11,2011,"HUNT12 14"
"2","Male","Trampa",1,8,4,"HUNT12",14,11,2011,"HUNT12 14"
"1","Female","Escopeta",1,0,1,"HUNT13",1,8,2010,"HUNT13 1"
"4","Male","Escopeta",1,10,4,"HUNT13",2,9,2010,"HUNT13 2"
"4","Female","Escopeta",0,26,4,"HUNT13",2,9,2010,"HUNT13 2"
"1","Female","Escopeta",23,0,5,"HUNT13",3,10,2010,"HUNT13 3"
"4","Female","Escopeta",0,4,5,"HUNT13",3,10,2010,"HUNT13 3"
"5","Female","Escopeta",0,2,5,"HUNT13",3,10,2010,"HUNT13 3"
"1","Male","Escopeta",13,0,5,"HUNT13",3,10,2010,"HUNT13 3"
"4","Male","Escopeta",0,0,5,"HUNT13",3,10,2010,"HUNT13 3"
"5","Male","Escopeta",0,1,5,"HUNT13",3,10,2010,"HUNT13 3"
"1","Female","Escopeta",16,0,3,"HUNT13",4,11,2010,"HUNT13 4"
"4","Female","Escopeta",0,5,3,"HUNT13",4,11,2010,"HUNT13 4"
"1","Male","Escopeta",6,0,3,"HUNT13",4,11,2010,"HUNT13 4"
"4","Male","Escopeta",0,6,3,"HUNT13",4,11,2010,"HUNT13 4"
"4","Female","Escopeta",0,16,4,"HUNT13",5,12,2010,"HUNT13 5"
"1","Female","Escopeta",15,0,4,"HUNT13",5,12,2010,"HUNT13 5"
"4","Male","Escopeta",2,10,4,"HUNT13",5,12,2010,"HUNT13 5"
"1","Male","Escopeta",12,0,4,"HUNT13",5,12,2010,"HUNT13 5"
"4","Female","Escopeta",0,16,2,"HUNT13",6,1,2011,"HUNT13 6"
"4","Male","Escopeta",0,2,2,"HUNT13",6,1,2011,"HUNT13 6"
"4","Female","Escopeta",0,3,1,"HUNT13",7,4,2011,"HUNT13 7"
"4","Male","Escopeta",0,3,1,"HUNT13",7,4,2011,"HUNT13 7"
"5","Female","Escopeta",0,8,3,"HUNT13",8,5,2011,"HUNT13 8"
"4","Female","Escopeta",0,14,3,"HUNT13",8,5,2011,"HUNT13 8"
"5","Male","Escopeta",0,3,3,"HUNT13",8,5,2011,"HUNT13 8"
"4","Male","Escopeta",0,5,3,"HUNT13",8,5,2011,"HUNT13 8"
"4","Female","Escopeta",0,7,1,"HUNT13",9,6,2011,"HUNT13 9"
"4","Male","Escopeta",0,2,1,"HUNT13",9,6,2011,"HUNT13 9"
"4","Female","Escopeta",0,23,5,"HUNT13",10,7,2011,"HUNT13 10"
"2","Female","Escopeta",2,3,5,"HUNT13",10,7,2011,"HUNT13 10"
"4","Male","Escopeta",0,8,5,"HUNT13",10,7,2011,"HUNT13 10"
"2","Male","Escopeta",0,3,5,"HUNT13",10,7,2011,"HUNT13 10"
"4","Female","Escopeta",1,29,7,"HUNT13",11,8,2011,"HUNT13 11"
"2","Female","Escopeta",2,7,7,"HUNT13",11,8,2011,"HUNT13 11"
"4","Male","Escopeta",1,27,7,"HUNT13",11,8,2011,"HUNT13 11"
"2","Male","Escopeta",0,0,7,"HUNT13",11,8,2011,"HUNT13 11"
"4","Female","Escopeta",1,27,5,"HUNT13",12,9,2011,"HUNT13 12"
"4","Male","Escopeta",0,16,5,"HUNT13",12,9,2011,"HUNT13 12"
"4","Male","Escopeta",0,10,4,"HUNT13",15,12,2011,"HUNT13 15"
"4","Female","Escopeta",0,22,4,"HUNT13",15,12,2011,"HUNT13 15"
"4","Female","Escopeta",0,16,4,"HUNT13",16,1,2012,"HUNT13 16"
"4","Male","Escopeta",1,8,4,"HUNT13",16,1,2012,"HUNT13 16"
"4","Female","Escopeta",0,9,2,"HUNT13",17,3,2012,"HUNT13 17"
"4","Male","Escopeta",0,7,2,"HUNT13",17,3,2012,"HUNT13 17"
"4","Male","Escopeta",0,8,5,"HUNT13",18,4,2012,"HUNT13 18"
"5","Male","Escopeta",0,3,5,"HUNT13",18,4,2012,"HUNT13 18"
"3","Male","Escopeta",0,1,5,"HUNT13",18,4,2012,"HUNT13 18"
"4","Female","Escopeta",0,17,5,"HUNT13",18,4,2012,"HUNT13 18"
"5","Female","Escopeta",0,5,5,"HUNT13",18,4,2012,"HUNT13 18"
"3","Female","Escopeta",0,7,5,"HUNT13",18,4,2012,"HUNT13 18"
"4","Female","Escopeta",0,19,3,"HUNT13",19,5,2012,"HUNT13 19"
"4","Male","Escopeta",1,5,3,"HUNT13",19,5,2012,"HUNT13 19"
"4","Female","Escopeta",0,8,3,"HUNT13",20,6,2012,"HUNT13 20"
"3","Female","Escopeta",0,4,3,"HUNT13",20,6,2012,"HUNT13 20"
"4","Male","Escopeta",1,4,3,"HUNT13",20,6,2012,"HUNT13 20"
"3","Male","Escopeta",0,3,3,"HUNT13",20,6,2012,"HUNT13 20"
"4","Male","Escopeta",0,2,1,"HUNT13",21,7,2012,"HUNT13 21"
"4","Female","Escopeta",0,7,1,"HUNT13",21,7,2012,"HUNT13 21"
"4","Female","Escopeta",0,17,3,"HUNT13",22,8,2012,"HUNT13 22"
"4","Male","Escopeta",0,6,3,"HUNT13",22,8,2012,"HUNT13 22"
"4","Female","Escopeta",0,13,2,"HUNT13",23,10,2012,"HUNT13 23"
"4","Male","Escopeta",0,5,2,"HUNT13",23,10,2012,"HUNT13 23"
"4","Female","Escopeta",3,5,1,"HUNT13",24,11,2012,"HUNT13 24"
"4","Male","Escopeta",0,2,1,"HUNT13",24,11,2012,"HUNT13 24"
"4","Female","Escopeta",1,4,1,"HUNT13",25,12,2012,"HUNT13 25"
"4","Male","Escopeta",0,2,1,"HUNT13",25,12,2012,"HUNT13 25"
"4","Female","Escopeta",0,4,1,"HUNT13",26,2,2013,"HUNT13 26"
"4","Male","Escopeta",0,2,1,"HUNT13",26,2,2013,"HUNT13 26"
"4","Female","Escopeta",0,4,1,"HUNT13",27,3,2013,"HUNT13 27"
"4","Male","Escopeta",0,0,1,"HUNT13",27,3,2013,"HUNT13 27"
"4","Male","Escopeta",0,1,1,"HUNT13",29,5,2013,"HUNT13 29"
"4","Female","Escopeta",0,4,1,"HUNT13",29,5,2013,"HUNT13 29"
"4","Male","Escopeta",1,2,1,"HUNT13",30,6,2013,"HUNT13 30"
"4","Female","Escopeta",1,1,1,"HUNT13",30,6,2013,"HUNT13 30"
"4","Female","Escopeta",1,0,1,"HUNT13",31,7,2013,"HUNT13 31"
"4","Female","Escopeta",0,14,2,"HUNT13",32,8,2013,"HUNT13 32"
"4","Male","Escopeta",0,2,2,"HUNT13",32,8,2013,"HUNT13 32"
"5","Female","Trampa",0,1,1,"HUNT14",1,8,2010,"HUNT14 1"
"5","Female","Trampa",0,2,1,"HUNT14",1,8,2010,"HUNT14 1"
"5","Male","Trampa",0,0,1,"HUNT14",1,8,2010,"HUNT14 1"
"5","Male","Trampa",0,2,1,"HUNT14",1,8,2010,"HUNT14 1"
"5","Female","Escopeta",0,0,1,"HUNT14",1,8,2010,"HUNT14 1"
"5","Female","Escopeta",1,0,1,"HUNT14",1,8,2010,"HUNT14 1"
"5","Male","Escopeta",0,0,1,"HUNT14",1,8,2010,"HUNT14 1"
"5","Male","Escopeta",0,0,1,"HUNT14",1,8,2010,"HUNT14 1"
"5","Female","Trampa",2,0,1,"HUNT14",3,10,2010,"HUNT14 3"
"5","Female","Trampa",0,7,1,"HUNT14",4,11,2010,"HUNT14 4"
"5","Male","Trampa",0,3,1,"HUNT14",4,11,2010,"HUNT14 4"
"4","Female","Trampa",0,11,2,"HUNT15",6,1,2011,"HUNT15 6"
"4","Male","Trampa",1,9,2,"HUNT15",6,1,2011,"HUNT15 6"
"4","Female","Trampa",0,10,2,"HUNT15",7,4,2011,"HUNT15 7"
"4","Male","Trampa",0,5,2,"HUNT15",7,4,2011,"HUNT15 7"
"4","Female","Trampa",0,13,2,"HUNT15",8,5,2011,"HUNT15 8"
"4","Male","Trampa",1,3,2,"HUNT15",8,5,2011,"HUNT15 8"
"4","Female","Trampa",0,8,1,"HUNT15",9,6,2011,"HUNT15 9"
"4","Male","Trampa",0,6,1,"HUNT15",9,6,2011,"HUNT15 9"
"4","Female","Trampa",1,15,3,"HUNT15",10,7,2011,"HUNT15 10"
"4","Male","Trampa",1,7,3,"HUNT15",10,7,2011,"HUNT15 10"
"4","Female","Trampa",1,13,2,"HUNT15",11,8,2011,"HUNT15 11"
"4","Male","Trampa",2,6,2,"HUNT15",11,8,2011,"HUNT15 11"
"4","Female","Trampa",1,20,2,"HUNT15",12,9,2011,"HUNT15 12"
"4","Male","Trampa",3,3,2,"HUNT15",12,9,2011,"HUNT15 12"
"4","Female","Trampa",2,4,1,"HUNT15",14,11,2011,"HUNT15 14"
"4","Male","Trampa",0,3,1,"HUNT15",14,11,2011,"HUNT15 14"
"4","Female","Trampa",2,10,2,"HUNT15",15,12,2011,"HUNT15 15"
"4","Male","Trampa",0,8,2,"HUNT15",15,12,2011,"HUNT15 15"
"4","Female","Trampa",0,14,2,"HUNT15",17,3,2012,"HUNT15 17"
"4","Male","Trampa",0,4,2,"HUNT15",17,3,2012,"HUNT15 17"
"2","Male","Trampa",0,4,6,"HUNT16",1,8,2010,"HUNT16 1"
"4","Male","Trampa",1,7,6,"HUNT16",1,8,2010,"HUNT16 1"
"2","Female","Trampa",0,5,6,"HUNT16",1,8,2010,"HUNT16 1"
"4","Female","Trampa",0,15,6,"HUNT16",1,8,2010,"HUNT16 1"
"2","Male","Escopeta",0,0,6,"HUNT16",1,8,2010,"HUNT16 1"
"4","Male","Escopeta",1,0,6,"HUNT16",1,8,2010,"HUNT16 1"
"2","Female","Escopeta",0,0,6,"HUNT16",1,8,2010,"HUNT16 1"
"4","Female","Escopeta",0,0,6,"HUNT16",1,8,2010,"HUNT16 1"
"4","Female","Trampa",1,42,8,"HUNT16",2,9,2010,"HUNT16 2"
"4","Male","Trampa",0,21,8,"HUNT16",2,9,2010,"HUNT16 2"
"4","Female","Trampa",0,21,9,"HUNT16",3,10,2010,"HUNT16 3"
"3","Female","Trampa",0,0,9,"HUNT16",3,10,2010,"HUNT16 3"
"2","Female","Trampa",0,2,9,"HUNT16",3,10,2010,"HUNT16 3"
"4","Male","Trampa",0,21,9,"HUNT16",3,10,2010,"HUNT16 3"
"3","Male","Trampa",0,0,9,"HUNT16",3,10,2010,"HUNT16 3"
"2","Male","Trampa",0,0,9,"HUNT16",3,10,2010,"HUNT16 3"
"4","Female","Escopeta",0,4,9,"HUNT16",3,10,2010,"HUNT16 3"
"3","Female","Escopeta",0,2,9,"HUNT16",3,10,2010,"HUNT16 3"
"2","Female","Escopeta",0,0,9,"HUNT16",3,10,2010,"HUNT16 3"
"4","Male","Escopeta",0,2,9,"HUNT16",3,10,2010,"HUNT16 3"
"3","Male","Escopeta",0,1,9,"HUNT16",3,10,2010,"HUNT16 3"
"2","Male","Escopeta",0,0,9,"HUNT16",3,10,2010,"HUNT16 3"
"4","Female","Trampa",0,36,5,"HUNT16",4,11,2010,"HUNT16 4"
"4","Male","Trampa",0,17,5,"HUNT16",4,11,2010,"HUNT16 4"
"4","Female","Escopeta",0,9,3,"HUNT16",5,12,2010,"HUNT16 5"
"3","Female","Escopeta",0,7,3,"HUNT16",5,12,2010,"HUNT16 5"
"4","Male","Escopeta",0,9,3,"HUNT16",5,12,2010,"HUNT16 5"
"3","Male","Escopeta",0,3,3,"HUNT16",5,12,2010,"HUNT16 5"
"3","Female","Escopeta",0,12,3,"HUNT16",6,1,2011,"HUNT16 6"
"3","Male","Escopeta",0,9,3,"HUNT16",6,1,2011,"HUNT16 6"
"3","Female","Escopeta",0,11,3,"HUNT16",7,4,2011,"HUNT16 7"
"3","Male","Escopeta",0,8,3,"HUNT16",7,4,2011,"HUNT16 7"
"3","Female","Escopeta",0,13,3,"HUNT16",8,5,2011,"HUNT16 8"
"3","Male","Escopeta",0,7,3,"HUNT16",8,5,2011,"HUNT16 8"
